background,设置所有的背景属性
background-attachment,设置背景图像是否固定或者随着页面的其余部分滚动
background-clip,规定背景的绘制区域
background-color,设置元素的背景颜色
background-image,设置元素的背景图像
background-origin,规定背景图片的定位区域
background-position,设置背景图像的开始位置
background-repeat,设置是否及如何重复背景图像
background-size,规定背景图片的尺寸
border,设置所有的边框属性
border-bottom,设置所有的下边框属性
border-bottom-color,设置下边框的颜色
border-bottom-left-radius,定义边框左下角的形状
border-bottom-right-radius,定义边框右下角的形状
border-bottom-style,设置下边框的样式
border-bottom-width,设置下边框的宽度
border-color,设置四条边框的颜色
border-image,设置所有 border-image-* 属性
border-image-outset,规定边框图像区域超出边框的量
border-image-repeat,图像边框是否应平铺(repeated)、铺满(rounded)或拉伸(stretched)
border-image-width,规定图片边框的宽度
border-left,设置所有的左边框属性
border-left-color,设置左边框的颜色
border-left-style,设置左边框的样式
border-left-width,设置左边框的宽度
border-radius,设置所有四个 border-*-radius 属性
border-right,设置所有的右边框属性
border-right-color,设置右边框的颜色
border-right-style,设置右边框的样式
border-right-width,设置右边框的宽度
border-style,设置四条边框的样式
border-top,设置所有的上边框属性
border-top-color,设置上边框的颜色
border-top-left-radius,定义边框左上角的形状
border-top-right-radius,定义边框右上角的形状
border-top-style,设置上边框的样式
border-top-width,设置上边框的宽度
border-width,设置四条边框的宽度
bottom,设置定位元素下外边距边界与其包含块下边界之间的偏移
color,设置文本的颜色
cursor,规定要显示的光标的类型（形状）
direction,规定文本的方向 / 书写方向
font,设置所有字体属性
font-family,规定文本的字体系列
font-size,规定文本的字体尺寸
font-size-adjust,为元素规定 aspect 值
font-stretch,收缩或拉伸当前的字体系列
font-style,规定文本的字体样式
font-variant,规定是否以小型大写字母的字体显示文
font-weight,规定字体的粗细
height,设置元素高度
left,设置定位元素左外边距边界与其包含块左边界之间的偏移
margin,设置所有外边距属性
margin-bottom,设置元素的下外边距
margin-left,设置元素的左外边距
margin-right,设置元素的右外边距
margin-top,设置元素的上外边距
max-height,设置元素的最大高度
max-width,设置元素的最大宽度
min-height,设置元素的最小高度
min-width,设置元素的最小宽度
opacity,透明度
outline,设置所有的轮廓属性
outline-color,设置轮廓的颜色
outline-style,设置轮廓的样式
outline-width,设置轮廓的宽度
padding,设置所有内边距属性
padding-bottom,设置元素的下内边距
padding-left,设置元素的左内边距
padding-right,设置元素的右内边距
padding-top,设置元素的上内边距
position,规定元素的定位类型
right,设置定位元素右外边距边界与其包含块右边界之间的偏移
text-align,规定文本的水平对齐方式
text-indent,规定文本块首行的缩进
top,设置定位元素的上外边距边界与其包含块上边界之间的偏移
vertical-align,设置元素的垂直对齐方式
visibility,规定元素是否可见
width,设置元素的宽度
